NAME,SEASON,TM,GP,MPG,PPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
Michael Jordan,1984-85,CHI,82,38.3,28.2,6.5,5.9,2.4,0.8,3.5,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,3144,2313,534,481,196,69,291,285,
Michael Jordan,1985-86,CHI,18,25.1,22.7,3.6,2.9,2.1,1.2,2.5,8.3,18.2,45.7,0.2,1.0,16.7,5.8,6.9,84.0,451,408,64,53,37,21,45,46,
Michael Jordan,1986-87,CHI,82,40.0,37.1,5.2,4.6,2.9,1.5,3.3,13.4,27.8,48.2,0.1,0.8,18.2,10.2,11.9,85.7,3281,3041,430,377,236,125,272,237,
Michael Jordan,1987-88,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,3.1,13.0,24.4,53.5,0.1,0.6,13.2,8.8,10.5,84.1,3311,2868,449,485,259,131,252,270,
Michael Jordan,1988-89,CHI,81,40.2,32.5,8.0,8.0,2.9,0.8,3.6,11.9,22.2,53.8,0.3,1.2,27.6,8.3,9.8,85.0,3255,2633,652,650,234,65,290,247,
Michael Jordan,1989-90,CHI,82,39.0,33.6,6.9,6.3,2.8,0.7,3.0,12.6,24.0,52.6,1.1,3.0,37.6,7.2,8.5,84.8,3197,2753,565,519,227,54,247,241,
Michael Jordan,1990-91,CHI,82,37.0,31.5,6.0,5.5,2.7,1.0,2.5,12.1,22.4,53.9,0.4,1.1,31.2,7.0,8.2,85.1,3034,2580,492,453,223,83,202,229,
Michael Jordan,1991-92,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,2.5,11.8,22.7,51.9,0.3,1.3,27.0,6.1,7.4,83.2,3102,2404,511,489,182,75,200,201,
Michael Jordan,1992-93,CHI,78,39.3,32.6,6.7,5.5,2.8,0.8,2.7,12.7,25.7,49.5,1.0,2.9,35.2,6.1,7.3,83.7,3067,2541,522,428,221,61,207,188,
Michael Jordan,1994-95,CHI,17,39.3,26.9,6.9,5.3,1.8,0.8,2.1,9.8,23.8,41.1,0.9,1.9,50.0,6.4,8.0,80.1,668,457,117,90,30,13,35,47,
Michael Jordan,1995-96,CHI,82,37.7,30.4,6.6,4.3,2.2,0.5,2.4,11.2,22.6,49.5,1.4,3.2,42.7,6.7,8.0,83.4,3090,2491,543,352,180,42,197,195,
Michael Jordan,1996-97,CHI,82,37.9,29.6,5.9,4.3,1.7,0.5,2.0,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7.0,83.3,3106,2431,482,352,140,44,166,156,+818
Michael Jordan,1997-98,CHI,82,38.8,28.7,5.8,3.5,1.7,0.5,2.3,10.7,23.1,46.5,0.4,1.5,23.8,6.9,8.8,78.4,3181,2357,475,283,141,45,185,151,+598
Michael Jordan,2001-02,WAS,60,34.9,22.9,5.7,5.2,1.4,0.4,2.7,9.2,22.1,41.6,0.2,0.9,18.9,4.4,5.6,79.0,2093,1375,339,310,85,26,162,119,+16
Michael Jordan,2002-03,WAS,82,37.0,20.0,6.1,3.8,1.5,0.5,2.1,8.3,18.6,44.5,0.2,0.7,29.1,3.2,4.0,82.1,3031,1640,497,311,123,39,173,171,+6
